ID,Category,English Name,Indonesian Name,Simple Description (Context for AI),Example Sentence (from LKS),Asking and Giving Information
1,Living Room,remote control,remot TV,"A small handheld device, usually rectangular and made of plastic, with many buttons. It is used to control the television from a distance, such as turning it on/off, changing channels, and adjusting the volume.",I use the remote control to turn on the television.,Q: Is there a remote control in the bedroom? A: The remote control isn't in the bedroom. It's in the living room.
2,Living Room,vase,vas bunga,"A container for holding flowers, often cylindrical or round and made of glass, ceramic, or plastic. It is usually placed on a table or shelf as decoration and can hold water for real flowers.",It is a vase.,Q: Is there a vase in the bedroom? A: The vase isn't in the bedroom. It's in the living room.
3,Living Room,flower,bunga,"A decorative flower that can be real or artificial. It usually has a soft petal shape with a stem and is used to make a room look beautiful, often placed in a vase.",There is a flower in the vase.,Q: Is there a flower in the bedroom? A: The flower isn't in the bedroom. It's in the living room.
4,Living Room,photo frame,bingkai foto,"A flat, rectangular (sometimes oval) frame made of wood, plastic, or metal. It has a clear cover (glass/plastic) to protect and display a photo on a table or wall.",That is a photo frame.,Q: Is there a photo frame in the bedroom? A: The photo frame isn't in the bedroom. It's in the living room.
5,Living Room,small clock,jam kecil,"A small clock, often round or square, usually placed on a table. It can be digital or analog and is used to tell the time at a quick glance.",The small clock is on the table.,Q: Is there a small clock in the bedroom? A: The small clock isn't in the bedroom. It's in the living room.
6,Living Room,newspaper,koran,"A large folded paper made of thin sheets with printed news, pictures, and stories. It is usually rectangular and is read to get information about current events.",My dad is reading the newspaper.,Q: Is there a newspaper in the bedroom? A: The newspaper isn't in the bedroom. It's in the living room.
7,Living Room,magazine,majalah,"A thin book with colorful pictures and articles. It is usually glossy, rectangular, and stapled or bound, and people read it for stories, hobbies, or information.",I read a magazine in the living room.,Q: Is there a magazine in the bedroom? A: The magazine isn't in the bedroom. It's in the living room.
8,Living Room,coaster,tatakan gelas,"A small flat mat, usually round or square, made of cork, plastic, wood, or cloth. It is placed under a glass or cup to protect the table from water marks and heat.",The glass is on the coaster.,Q: Is there a coaster in the bedroom? A: The coaster isn't in the bedroom. It's in the living room.
9,Living Room,key,kunci,"A small metal object with a unique shape and teeth, usually attached to a keychain. It is used to lock or unlock doors and cabinets.",The key is on the table.,Q: Is there a key in the bedroom? A: The key isn't in the bedroom. It's in the living room.
10,Living Room,candle,lilin hiasan,"A wax stick or cylinder (sometimes in a jar) with a wick in the center. When lit, it gives a warm light and can be used for decoration or a nice smell.",The candle is on the table.,Q: Is there a candle in the bedroom? A: The candle isn't in the bedroom. It's in the living room.
11,Living Room,tissue pack,tisu saku,"A small soft pack, usually rectangular, containing folded paper tissues. It is used to wipe hands, face, or small spills and is easy to carry.",I take a tissue from the tissue pack.,Q: Is there a tissue pack in the bedroom? A: The tissue pack isn't in the bedroom. It's in the living room.
12,Living Room,pen,pulpen,"A writing tool with a long, thin cylindrical body, usually plastic or metal, with ink inside. It is used to write on paper and often has a cap or click button.",I write my homework with a pen.,Q: Is there a pen in the bedroom? A: The pen isn't in the bedroom. It's in the living room.
13,Living Room,pencil,pensil,"A long, thin wooden (or mechanical) writing tool with a graphite tip. It is used for writing and drawing, and the marks can be erased.",I draw with a pencil.,Q: Is there a pencil in the bedroom? A: The pencil isn't in the bedroom. It's in the living room.
14,Living Room,calendar,kalender,"A paper or digital display that shows days, weeks, and months. It is usually rectangular and hung on a wall or placed on a table to help people remember dates.",The calendar is on the wall.,Q: Is there a calendar in the bedroom? A: The calendar isn't in the bedroom. It's in the living room.
15,Living Room,fan,kipas tangan,"A small handheld fan, often flat and semicircle-shaped when opened, made of plastic, paper, or fabric. It is used to move air and cool your face or body.",I use a fan because it is hot.,Q: Is there a fan in the bedroom? A: The fan isn't in the bedroom. It's in the living room.
16,Living Room,sofa,sofa,"A large, soft piece of furniture with cushions, usually long and rectangular. It is covered with fabric or leather and is used for sitting or relaxing in the living room.",My dad sits on the sofa.,Q: Is there a sofa in the bedroom? A: The sofa isn't in the bedroom. It's in the living room.
17,Living Room,television,televisi,"A large rectangular electronic screen, usually placed on a table or mounted on a wall. It is used to watch shows, movies, and news, and it works with electricity.",Our family is watching television at night.,Q: Is there a television in the bedroom? A: The television isn't in the bedroom. It's in the living room.
18,Living Room,table,meja,"A piece of furniture with a flat top surface and legs, usually rectangular or round. It is used to place objects like books, drinks, or decorations.",The table is in the living room.,Q: Is there a table in the bedroom? A: The table isn't in the bedroom. It's in the living room.
19,Living Room,table lamp,lampu meja,"A small lamp with a base and a shade, usually placed on a table. It provides light for reading or relaxing and is powered by electricity.",The table lamp is on the table.,Q: Is there a table lamp in the bedroom? A: The table lamp isn't in the bedroom. It's in the living room.
20,Living Room,frame,bingkai,"A border or holder, usually rectangular, made of wood, plastic, or metal. It is used to hold and decorate a picture, photo, or artwork.",That is a frame.,Q: Is there a frame in the bedroom? A: The frame isn't in the bedroom. It's in the living room.
21,Living Room,picture,foto,An image or artwork displayed on a wall or placed in a frame. It is usually rectangular and used as decoration or to remember people and moments.,There is a picture on the wall.,Q: Is there a picture in the bedroom? A: The picture isn't in the bedroom. It's in the living room.
22,Living Room,window,jendela,"A glass opening in a wall, usually rectangular, with a frame made of wood or metal. It lets in light and air and can be opened or closed.",The window is open.,Q: Is there a window in the bedroom? A: The window isn't in the bedroom. It's in the living room.
23,Living Room,door,pintu,"A large flat panel, usually rectangular, made of wood or metal. It opens and closes to allow people to enter or leave a room and provides privacy.",I close the door.,Q: Is there a door in the bedroom? A: The door isn't in the bedroom. It's in the living room.
24,Living Room,clock,jam,"A wall clock, usually round or square, with numbers and hands (or a digital display). It is used to tell the time and is often hung on a wall.",The clock is not working.,Q: Is there a clock in the bedroom? A: The clock isn't in the bedroom. It's in the living room.
25,Living Room,air condition,pendingin ruangan,"An air conditioner (AC) unit, usually a rectangular machine installed on a wall. It blows cool air to make the room comfortable and is powered by electricity.",The air condition is broken.,Q: Is there an air conditioner in the bedroom? A: The air conditioner isn't in the bedroom. It's in the living room.
26,Living Room,curtain,tirai,"A large piece of cloth that hangs down in long panels. It covers a window to block sunlight, add privacy, and decorate the room.",The curtain color is the same as the wall.,Q: Is there a curtain in the bedroom? A: The curtain isn't in the bedroom. It's in the living room.
27,Living Room,fireplace,perapian,"A built-in space in a wall, usually rectangular, where a fire can burn safely. It is used to warm the room and can also be a decorative feature.",We sit in front of the fireplace.,Q: Is there a fireplace in the bedroom? A: The fireplace isn't in the bedroom. It's in the living room.
28,Living Room,bookcase,rak buku,"A tall shelf unit, usually rectangular, made of wood or metal. It has several levels to store and organize books and other items.",I put my books in the bookcase.,Q: Is there a bookcase in the bedroom? A: The bookcase isn't in the bedroom. It's in the living room.
29,Living Room,cushion,bantal duduk,"A soft pillow, usually square or rectangular, filled with foam or cotton. It is placed on a sofa or chair to add comfort and decoration.",The cushion is on the sofa.,Q: Is there a cushion in the bedroom? A: The cushion isn't in the bedroom. It's in the living room.
30,Living Room,magazine rack,rak majalah,"A holder or rack, often rectangular and made of metal, wood, or plastic. It is used to keep magazines organized and easy to reach.",The magazine is in the magazine rack.,Q: Is there a magazine rack in the bedroom? A: The magazine rack isn't in the bedroom. It's in the living room.
31,Living Room,telephone,telepon,"A communication device, usually with a base and handset (or a cordless unit). It is used to call or receive calls and is often placed on a table.",The telephone is on the table.,Q: Is there a telephone in the bedroom? A: The telephone isn't in the bedroom. It's in the living room.
32,Bedroom,alarm clock,jam weker,"A small clock, often round or rectangular, placed on a table near the bed. It can make a loud sound at a set time to wake you up.",The alarm clock is on the table.,Q: Is there an alarm clock in the living room? A: The alarm clock isn't in the living room. It's in the bedroom.
33,Bedroom,comb,sisir,A small plastic or wooden tool with a long handle and teeth in a straight line. It is used to tidy and arrange hair.,I use a comb every morning.,Q: Is there a comb in the living room? A: The comb isn't in the living room. It's in the bedroom.
34,Bedroom,hairbrush,sisir sikat,"A brush with a handle and many bristles, usually oval or rectangular. It is used to smooth and comb hair, especially longer hair.",I use a hairbrush to comb my hair.,Q: Is there a hairbrush in the living room? A: The hairbrush isn't in the living room. It's in the bedroom.
35,Bedroom,mirror,cermin,"A flat reflective surface, usually rectangular or oval, made of glass. It is used to see your face or body when getting ready.",I look at myself in the mirror.,Q: Is there a mirror in the living room? A: The mirror isn't in the living room. It's in the bedroom.
36,Bedroom,hanger,gantungan baju,"A tool, usually shaped like a triangle with a hook, made of plastic, wood, or metal. It is used to hang clothes neatly in a cupboard.",I hang my clothes on the hanger.,Q: Is there a hanger in the living room? A: The hanger isn't in the living room. It's in the bedroom.
37,Bedroom,doll,boneka,"A small toy shaped like a person, usually made of plastic or cloth. It is used for playing and can be placed on the bed as decoration.",The doll is on the bed.,Q: Is there a doll in the living room? A: The doll isn't in the living room. It's in the bedroom.
38,Bedroom,teddy bear,boneka beruang,"A soft toy shaped like a bear, made of fluffy fabric and stuffing. It is used for hugging and comfort, especially when sleeping.",I sleep with my teddy bear.,Q: Is there a teddy bear in the living room? A: The teddy bear isn't in the living room. It's in the bedroom.
39,Bedroom,toy car,mobil-mobilan,"A small toy vehicle shaped like a car, usually made of plastic or metal. It can roll on wheels and is used for playing.",The toy car is under the bed.,Q: Is there a toy car in the living room? A: The toy car isn't in the living room. It's in the bedroom.
40,Bedroom,socks,kaos kaki,"Clothing for your feet, usually made of soft fabric like cotton. They are tube-shaped and worn inside shoes to keep feet warm and clean.",I wear socks every day.,Q: Are there socks in the living room? A: The socks aren't in the living room. They're in the bedroom.
41,Bedroom,slippers,sandal tidur,"Soft indoor footwear, usually open or closed-toe, made of cloth, foam, or rubber. They are used inside the bedroom to keep feet comfortable.",I wear slippers in my bedroom.,Q: Are there slippers in the living room? A: The slippers aren't in the living room. They're in the bedroom.
42,Bedroom,storybook,buku cerita,"A small book, usually with pictures and simple text. It is used for reading stories, often before sleeping.",I read a storybook at night.,Q: Is there a storybook in the living room? A: The storybook isn't in the living room. It's in the bedroom.
43,Bedroom,diary,buku harian,"A small notebook, usually rectangular and bound, used to write personal daily stories, feelings, or activities. It is often kept private.",I write in my diary.,Q: Is there a diary in the living room? A: The diary isn't in the living room. It's in the bedroom.
44,Bedroom,night lamp,lampu tidur,"A small lamp with a soft light, often placed near the bed. It is used at night so the room is not too dark and helps you feel calm.",I turn on the night lamp.,Q: Is there a night lamp in the living room? A: The night lamp isn't in the living room. It's in the bedroom.
45,Bedroom,photograph,foto,"A printed photo, usually rectangular, showing family or personal memories. It is often placed in a frame on a table or shelf.",There is a photograph on the table.,Q: Is there a photograph in the living room? A: The photograph isn't in the living room. It's in the bedroom.
46,Bedroom,perfume,parfum,"A small bottle, often made of glass, containing a nice-smelling liquid. It is sprayed or dabbed on the body to smell good.",I use perfume before school.,Q: Is there perfume in the living room? A: The perfume isn't in the living room. It's in the bedroom.
47,Bedroom,piggy bank,celengan,"A small container, often shaped like an animal (commonly a pig), made of plastic or ceramic. It has a slot on top to save coins and money.",I save my money in the piggy bank.,Q: Is there a piggy bank in the living room? A: The piggy bank isn't in the living room. It's in the bedroom.
48,Bedroom,bed,kasur,"A large piece of furniture, usually rectangular, with a mattress on top. It is used for sleeping and resting.",I sleep on the bed at night.,Q: Is there a bed in the living room? A: The bed isn't in the living room. It's in the bedroom.
49,Bedroom,pillow,bantal,"A soft cushion, usually rectangular, filled with cotton or foam. It supports your head and neck when sleeping.",There is a pillow on the bed.,Q: Is there a pillow in the living room? A: The pillow isn't in the living room. It's in the bedroom.
50,Bedroom,bolster,bantal guling,A long cylindrical pillow filled with soft material. It is used for hugging or supporting the body while sleeping.,There is a bolster on the bed.,Q: Is there a bolster in the living room? A: The bolster isn't in the living room. It's in the bedroom.
51,Bedroom,blanket,selimut,"A soft cloth covering, usually rectangular, made of cotton, fleece, or wool. It is used to keep the body warm while sleeping.",I use a blanket at night.,Q: Is there a blanket in the living room? A: The blanket isn't in the living room. It's in the bedroom.
52,Bedroom,bed sheet,sprei,A large rectangular cloth that covers the mattress. It is usually made of cotton and helps keep the bed clean and comfortable.,The bed sheet is clean.,Q: Is there a bed sheet in the living room? A: The bed sheet isn't in the living room. It's in the bedroom.
53,Bedroom,door,pintu,A flat rectangular panel made of wood or other material. It opens and closes to enter or leave the bedroom and gives privacy.,I close the door when I leave.,Q: Is there a door in the living room? A: The door isn't in the living room. It's in the bedroom.
54,Bedroom,window,jendela,"A glass opening in the wall with a frame, usually rectangular. It lets in air and light and can be opened for fresh air.",The window is open.,Q: Is there a window in the living room? A: The window isn't in the living room. It's in the bedroom.
55,Bedroom,table,meja,"A small table with a flat top and legs, usually placed beside the bed. It is used to put items like a lamp, books, or an alarm clock.",The table is beside the bed.,Q: Is there a table in the living room? A: The table isn't in the living room. It's in the bedroom.
56,Bedroom,chair,kursi,"A piece of furniture with a seat, backrest, and legs. It is used for sitting, for example while studying or getting dressed.",I sit on the chair.,Q: Is there a chair in the living room? A: The chair isn't in the living room. It's in the bedroom.
57,Bedroom,lamp,lampu,"A lighting device that can stand on a table or floor, with a base and bulb. It provides light in the room and uses electricity.",The lamp is on.,Q: Is there a lamp in the living room? A: The lamp isn't in the living room. It's in the bedroom.
58,Bedroom,picture,foto,"A picture or artwork, usually rectangular, displayed on the wall. It is used to decorate the bedroom and make it look nice.",There is a picture on the wall.,Q: Is there a picture in the living room? A: The picture isn't in the living room. It's in the bedroom.
59,Bedroom,television,televisi,An electronic device with a rectangular screen. It is used to watch cartoons or shows in the bedroom and is controlled by buttons or a remote.,I watch cartoon on the television.,Q: Is there a television in the living room? A: The television isn't in the living room. It's in the bedroom.
60,Bedroom,book,buku,"A set of paper pages bound together, usually rectangular. It is used for reading, studying, or writing homework.",I write my homework in my book.,Q: Is there a book in the living room? A: The book isn't in the living room. It's in the bedroom.
61,Bedroom,bag,tas,A container made of cloth or leather with straps and pockets. It is used to carry school books and personal items.,My bag is on the chair.,Q: Is there a bag in the living room? A: The bag isn't in the living room. It's in the bedroom.
62,Bedroom,clock,jam dinding,"A wall clock, usually round or square, with hands or a digital display. It is hung on the wall to help you know the time.",The clock is on the wall.,Q: Is there a clock in the living room? A: The clock isn't in the living room. It's in the bedroom.
63,Bedroom,cupboard,lemari,"A large storage furniture, usually tall and rectangular, made of wood. It has doors and shelves to store clothes and other items.",I take my clothes from the cupboard.,Q: Is there a cupboard in the living room? A: The cupboard isn't in the living room. It's in the bedroom.
64,Bedroom,curtain,gorden,"A hanging cloth covering for a window. It is usually long and made of fabric to block light, add privacy, and decorate the room.",The curtain is closed.,Q: Is there a curtain in the living room? A: The curtain isn't in the living room. It's in the bedroom.
65,Bedroom,computer,komputer,"An electronic device with a screen, keyboard, and mouse (or a desktop unit). It is used for work, study, or games and is powered by electricity.",I save my pictures on the computer.,Q: Is there a computer in the living room? A: The computer isn't in the living room. It's in the bedroom.
66,Bedroom,laptop,laptop,A portable computer with a thin rectangular shape that folds open and closed. It has a screen and keyboard and is used for homework or study.,I use my laptop for homework.,Q: Is there a laptop in the living room? A: The laptop isn't in the living room. It's in the bedroom.
67,Bedroom,clothes,baju,"Items you wear on your body, usually made of fabric. Clothes come in many shapes and sizes and are kept neatly in a cupboard.",I put my clothes in the cupboard.,Q: Are there clothes in the living room? A: The clothes aren't in the living room. They're in the bedroom.
68,Bedroom,pants,celana,"Clothing worn on the legs, with two long sections for each leg. Pants are usually made of fabric like cotton or denim.",I put my pants in the cupboard.,Q: Are there pants in the living room? A: The pants aren't in the living room. They're in the bedroom.
69,Bedroom,shoes,sepatu,"Footwear for outside, usually made of leather, fabric, or rubber. Shoes protect your feet and often have laces or straps.",Every Sunday I wash my shoes.,Q: Are there shoes in the living room? A: The shoes aren't in the living room. They're in the bedroom.
70,Bedroom,underwear,baju dalam,"Clothes worn under other clothes, usually made of soft fabric. Underwear is used for comfort and hygiene.",I put my underwear in the cupboard.,Q: Is there underwear in the living room? A: The underwear isn't in the living room. It's in the bedroom.
71,Bedroom,switch,stopkontak,"A wall switch or power socket used for electricity. It is usually small and rectangular, made of plastic, and used to turn lights on/off or to connect a plug.",I turn on the switch.,Q: Is there a switch in the living room? A: The switch isn't in the living room. It's in the bedroom.
72,Bedroom,jacket,jaket,"A warm outer clothing item with sleeves, often with a zipper or buttons. It is usually thicker than a shirt and is worn when it is cold.",I wear a jacket when it is cold.,Q: Is there a jacket in the living room? A: The jacket isn't in the living room. It's in the bedroom.
73,Bedroom,carpet,karpet,"A floor covering made of fabric, usually rectangular. It makes the floor feel softer and warmer and can also be decorative.",The carpet is on the floor.,Q: Is there a carpet in the living room? A: The carpet isn't in the living room. It's in the bedroom.
74,Living Room,charger,pengecasan,"A small electronic devices, usually rectangular and made of plastic, with a plug and a cable. It is used to charge a phone, tablet, or other devices by giving electrical power to the battery.",I use my charger to charge my phone.,Q: Is there a charger in the bedroom? A: The charger isn't in the bedroom. It's in the living room.
